#wave[nm]	#irradiance[W/m^2/nm]	#model[W/m^2/nm]
0.5	1.7515048384666443E-6	1.7515048384666443E-6
1.5	4.368670657277107E-5	4.368670657277107E-5
2.5	4.268656298518181E-5	4.268656298518181E-5
3.5	3.817593306303024E-5	3.817593306303024E-5
4.5	4.703453555703163E-5	4.703453555703163E-5
5.5	6.72522559762001E-5	6.72522559762001E-5
6.5	1.8051885068416597E-4	1.8051885068416597E-4
7.5	1.389528512954712E-4	1.389528512954712E-4
8.5	1.158837154507637E-4	1.158837154507637E-4
9.5	8.384623378515243E-5	8.384623378515243E-5
10.5	5.808774009346962E-5	5.808774009346962E-5
11.5	3.488223627209664E-5	3.488223627209664E-5
12.5	2.1765241399407387E-5	2.1765241399407387E-5
13.5	2.0887911319732664E-5	2.0887911319732664E-5
14.5	4.538574442267418E-5	4.538574442267418E-5
15.5	5.426523834466934E-5	5.426523834466934E-5
16.5	6.305023282766343E-5	6.305023282766343E-5
17.5	2.6987436413764953E-4	2.6987436413764953E-4
18.5	2.987199723720551E-4	2.987199723720551E-4
19.5	2.8236985206604005E-4	2.8236985206604005E-4
20.5	2.4250359833240508E-4	2.4250359833240508E-4
21.5	1.912517100572586E-4	1.912517100572586E-4
22.5	1.6444635391235353E-4	1.6444635391235353E-4
23.5	8.555536717176438E-5	8.555536717176438E-5
24.5	1.1607645452022553E-4	1.1607645452022553E-4
25.5	2.0131997764110565E-4	2.0131997764110565E-4
26.5	8.270927518606186E-5	8.270927518606186E-5
27.5	1.0033534467220306E-4	1.0033534467220306E-4
28.5	2.2376224398612977E-4	2.2376224398612977E-4
29.5	3.545363619923592E-5	3.545363619923592E-5
30.5	7.543209195137024E-4	7.543209195137024E-4
31.5	4.6855028718709944E-5	4.6855028718709944E-5
32.5	1.8253784626722335E-5	1.8253784626722335E-5
33.5	9.59751084446907E-5	9.59751084446907E-5
34.5	8.903516829013824E-5	8.903516829013824E-5
35.5	9.450633823871612E-5	9.450633823871612E-5
36.5	1.43951416015625E-4	1.43951416015625E-4
37.5	3.081723488867283E-5	3.081723488867283E-5
38.5	1.4799471013247966E-5	1.4799471013247966E-5
39.5	9.851370006799697E-6	9.851370006799697E-6
40.5	1.2230130843818188E-5	1.2230130843818188E-5
41.5	1.5452165156602858E-5	1.5452165156602858E-5
42.5	8.576856926083565E-6	8.576856926083565E-6
43.5	1.5368051826953888E-5	1.5368051826953888E-5
44.5	1.1549143120646477E-5	1.1549143120646477E-5
45.5	1.0226363316178322E-5	1.0226363316178322E-5
46.5	2.340892143547535E-5	2.340892143547535E-5
47.5	1.2658418156206607E-5	1.2658418156206607E-5
48.5	2.000794932246208E-5	2.000794932246208E-5
49.5	3.6187808960676195E-5	3.6187808960676195E-5
50.5	3.3657360821962356E-5	3.3657360821962356E-5
51.5	1.4416594058275223E-5	1.4416594058275223E-5
52.5	1.7662925645709037E-5	1.7662925645709037E-5
53.5	1.1239166371524334E-5	1.1239166371524334E-5
54.5	7.868124172091485E-6	7.868124172091485E-6
55.5	3.305017203092575E-5	3.305017203092575E-5
56.5	9.470892138779163E-6	9.470892138779163E-6
57.5	9.062638506293296E-6	9.062638506293296E-6
58.5	7.135210186243058E-5	7.135210186243058E-5
59.5	1.1378425173461437E-5	1.1378425173461437E-5
60.5	3.220882639288902E-5	3.220882639288902E-5
61.5	2.5926070287823676E-5	2.5926070287823676E-5
62.5	5.129117518663407E-5	5.129117518663407E-5
63.5	3.769255056977272E-5	3.769255056977272E-5
64.5	6.322451401501894E-6	6.322451401501894E-6
65.5	5.691277794539928E-6	5.691277794539928E-6
66.5	6.263886578381061E-6	6.263886578381061E-6
67.5	5.218013655394316E-6	5.218013655394316E-6
68.5	9.417470544576646E-6	9.417470544576646E-6
69.5	8.155874907970429E-6	8.155874907970429E-6
70.5	1.4985433779656886E-5	1.4985433779656886E-5
71.5	6.481879856437445E-6	6.481879856437445E-6
