#wave[nm]	#alt[km]
5.000E-01 9.334E+01
1.500E+00 9.613E+01
2.500E+00 9.891E+01
3.500E+00 1.009E+02
4.500E+00 1.055E+02
5.500E+00 1.078E+02
6.500E+00 1.095E+02
7.500E+00 1.123E+02
8.500E+00 1.156E+02
9.500E+00 1.178E+02
1.050E+01 1.193E+02
1.150E+01 1.202E+02
1.250E+01 1.236E+02
1.350E+01 1.255E+02
1.450E+01 1.272E+02
1.550E+01 1.286E+02
1.650E+01 1.302E+02
1.750E+01 1.323E+02
1.850E+01 1.355E+02
1.950E+01 1.372E+02
2.050E+01 1.389E+02
2.150E+01 1.412E+02
2.250E+01 1.439E+02
2.350E+01 1.459E+02
2.450E+01 1.470E+02
2.550E+01 1.479E+02
2.650E+01 1.487E+02
2.750E+01 1.493E+02
2.850E+01 1.499E+02
2.950E+01 1.504E+02
3.050E+01 1.520E+02
3.150E+01 1.532E+02
3.250E+01 1.543E+02
3.350E+01 1.554E+02
3.450E+01 1.570E+02
3.550E+01 1.581E+02
3.650E+01 1.591E+02
3.750E+01 1.598E+02
3.850E+01 1.609E+02
3.950E+01 1.626E+02
4.050E+01 1.637E+02
4.150E+01 1.648E+02
4.250E+01 1.653E+02
4.350E+01 1.660E+02
4.450E+01 1.665E+02
4.550E+01 1.666E+02
4.650E+01 1.661E+02
4.750E+01 1.666E+02
4.850E+01 1.671E+02
4.950E+01 1.671E+02
5.050E+01 1.671E+02
5.150E+01 1.676E+02
5.250E+01 1.682E+02
5.350E+01 1.682E+02
5.450E+01 1.682E+02
5.550E+01 1.676E+02
5.650E+01 1.671E+02
5.750E+01 1.666E+02
5.850E+01 1.666E+02
5.950E+01 1.671E+02
6.050E+01 1.671E+02
6.150E+01 1.676E+02
6.250E+01 1.676E+02
6.350E+01 1.676E+02
6.450E+01 1.676E+02
6.550E+01 1.676E+02
6.650E+01 1.687E+02
6.750E+01 1.720E+02
6.850E+01 1.675E+02
6.950E+01 1.714E+02
7.050E+01 1.667E+02
7.150E+01 1.629E+02
7.250E+01 1.691E+02
7.350E+01 1.618E+02
7.450E+01 1.639E+02
7.550E+01 1.638E+02
7.650E+01 1.638E+02
7.750E+01 1.637E+02
7.850E+01 1.622E+02
7.950E+01 1.601E+02
8.050E+01 1.580E+02
8.150E+01 1.541E+02
8.250E+01 1.451E+02
8.350E+01 1.422E+02
8.450E+01 1.505E+02
8.550E+01 1.570E+02
8.650E+01 1.635E+02
8.750E+01 1.695E+02
8.850E+01 1.598E+02
8.950E+01 1.474E+02
9.050E+01 1.387E+02
9.150E+01 1.466E+02
9.250E+01 1.436E+02
9.350E+01 1.384E+02
9.450E+01 1.409E+02
9.550E+01 1.452E+02
9.650E+01 1.533E+02
9.750E+01 1.331E+02
9.850E+01 1.530E+02
9.950E+01 1.170E+02
1.005E+02 1.094E+02
1.015E+02 1.047E+02
1.025E+02 1.044E+02
1.035E+02 1.026E+02
1.045E+02 1.019E+02
1.055E+02 1.013E+02
1.065E+02 1.005E+02
1.075E+02 9.995E+01
1.085E+02 9.995E+01
1.095E+02 9.941E+01
1.105E+02 9.941E+01
1.115E+02 9.895E+01
1.125E+02 9.888E+01
1.135E+02 9.834E+01
1.145E+02 9.723E+01
1.155E+02 9.622E+01
1.165E+02 9.995E+01
1.175E+02 1.019E+02
1.185E+02 8.651E+01
1.195E+02 9.839E+01
1.205E+02 1.138E+02
1.215E+02 8.830E+01
1.225E+02 9.731E+01
1.235E+02 9.835E+01
1.245E+02 1.061E+02
1.255E+02 1.003E+02
1.265E+02 9.519E+01
1.275E+02 9.122E+01
1.285E+02 9.842E+01
1.295E+02 9.888E+01
1.305E+02 9.766E+01
1.315E+02 1.007E+02
1.325E+02 1.049E+02
1.335E+02 1.066E+02
1.345E+02 1.086E+02
1.355E+02 1.117E+02
1.365E+02 1.137E+02
1.375E+02 1.153E+02
1.385E+02 1.159E+02
1.395E+02 1.159E+02
1.405E+02 1.159E+02
1.415E+02 1.159E+02
1.425E+02 1.159E+02
1.435E+02 1.159E+02
1.445E+02 1.159E+02
1.455E+02 1.159E+02
1.465E+02 1.159E+02
1.475E+02 1.156E+02
1.485E+02 1.151E+02
1.495E+02 1.149E+02
1.505E+02 1.149E+02
1.515E+02 1.143E+02
1.525E+02 1.138E+02
1.535E+02 1.133E+02
1.545E+02 1.127E+02
1.555E+02 1.122E+02
1.565E+02 1.117E+02
1.575E+02 1.111E+02
1.585E+02 1.106E+02
1.595E+02 1.098E+02
1.605E+02 1.093E+02
1.615E+02 1.087E+02
1.625E+02 1.081E+02
1.635E+02 1.074E+02
1.645E+02 1.064E+02
1.655E+02 1.058E+02
1.665E+02 1.048E+02
1.675E+02 1.037E+02
1.685E+02 1.031E+02
1.695E+02 1.020E+02
1.705E+02 1.009E+02
1.715E+02 9.975E+01
1.725E+02 9.865E+01
1.735E+02 9.754E+01
1.745E+02 9.559E+01
1.755E+02 9.325E+01
1.765E+02 9.064E+01
1.775E+02 8.803E+01
1.785E+02 8.541E+01
1.795E+02 8.280E+01
1.805E+02 8.019E+01
1.815E+02 7.758E+01
1.825E+02 7.497E+01
1.835E+02 7.236E+01
1.845E+02 6.975E+01
1.855E+02 6.713E+01
1.865E+02 6.452E+01
1.875E+02 6.191E+01
1.885E+02 5.930E+01
1.895E+02 5.669E+01
1.905E+02 5.408E+01
1.915E+02 5.146E+01
1.925E+02 4.885E+01
1.935E+02 4.577E+01
1.945E+02 4.267E+01
1.955E+02 3.958E+01
1.965E+02 3.648E+01
1.975E+02 3.368E+01
1.985E+02 3.258E+01
1.995E+02 3.167E+01
